device_id,device_type,operating_system,browser,mac_address,device_fingerprint
D0025,Laptop,macOS Sonoma,Edge,8a:ed:fe:16:ac:f3,macOS Sonoma_Edge_388d140c
D0026,Laptop,Windows 11,Edge,41:33:10:ee:6b:9c,Windows 11_Edge_ea7f826f
D0027,Workstation,Ubuntu 22.04,Brave,ec:a9:13:5e:b2:e0,Ubuntu 22.04_Brave_76fecd6a
D0028,Laptop,Windows 10,Edge,05:33:d9:52:95:5c,Windows 10_Edge_c8c889ca
D0029,Workstation,Windows 10,Brave,10:a8:5e:18:96:85,Windows 10_Brave_e4bfaef2
D0030,Laptop,Ubuntu 22.04,Chrome,5a:21:97:99:3c:d3,Ubuntu 22.04_Chrome_be4f980a
D0031,Laptop,Windows 11,Firefox,d7:2e:24:28:22:8d,Windows 11_Firefox_6ac9f9a9
D0032,Desktop,Ubuntu 22.04,Brave,fd:21:39:ab:95:5a,Ubuntu 22.04_Brave_89b37d6c
D0033,Desktop,Ubuntu 22.04,Chrome,3a:53:1b:17:99:cf,Ubuntu 22.04_Chrome_b0edafa1
D0034,Workstation,Ubuntu 22.04,Brave,22:28:c8:94:73:16,Ubuntu 22.04_Brave_3b4df75a
D0035,Workstation,Windows 11,Brave,60:d4:17:ce:13:6b,Windows 11_Brave_e572dcdb
D0036,Workstation,macOS Sonoma,Chrome,4c:fc:ed:6b:20:44,macOS Sonoma_Chrome_737c58bf
D0037,Desktop,Ubuntu 22.04,Brave,9a:12:58:75:ad:41,Ubuntu 22.04_Brave_88fc707c
D0038,Workstation,Windows 10,Edge,c1:e9:63:38:3f:67,Windows 10_Edge_9d847879
D0039,Desktop,Windows 11,Firefox,3a:7c:d3:ec:5f:3f,Windows 11_Firefox_cee12279
D0040,Workstation,Ubuntu 22.04,Firefox,37:78:3f:ca:37:23,Ubuntu 22.04_Firefox_de08bd87
D0041,Workstation,Windows 11,Chrome,51:bc:2a:1e:0b:21,Windows 11_Chrome_d7d3daf6
D0042,Desktop,Ubuntu 22.04,Edge,76:ec:bf:fd:bc:ca,Ubuntu 22.04_Edge_56523394
D0043,Desktop,Ubuntu 22.04,Brave,a3:cf:cb:5d:e7:65,Ubuntu 22.04_Brave_8caf7374
D0044,Workstation,Ubuntu 22.04,Edge,2e:6c:e8:4a:f4:af,Ubuntu 22.04_Edge_e6c65332
D0045,Workstation,Windows 10,Edge,de:b2:bd:c8:7d:12,Windows 10_Edge_da444f0f
D0046,Laptop,Windows 10,Brave,de:c0:30:d5:e2:d8,Windows 10_Brave_66859c48
D0047,Desktop,macOS Sonoma,Firefox,5a:8c:00:19:ad:07,macOS Sonoma_Firefox_cdd0582f
D0048,Workstation,Windows 10,Brave,98:31:6a:ec:db:ea,Windows 10_Brave_fe096f4d
D0049,Laptop,Windows 10,Chrome,b5:c4:cc:fe:3e:3d,Windows 10_Chrome_d6761727
D0050,Desktop,macOS Sonoma,Firefox,ae:b5:31:1a:06:45,macOS Sonoma_Firefox_c4b8f0fc
D0051,Desktop,Ubuntu 22.04,Chrome,3d:15:f9:eb:32:a5,Ubuntu 22.04_Chrome_b8df1983
D0052,Laptop,Windows 10,Brave,79:cc:c6:95:f2:0a,Windows 10_Brave_cb641bc6
D0053,Workstation,macOS Sonoma,Edge,f1:63:f6:94:f6:df,macOS Sonoma_Edge_af54a031
D0054,Laptop,macOS Sonoma,Brave,77:01:bb:24:c2:a3,macOS Sonoma_Brave_0ead9623
D0055,Desktop,Windows 11,Firefox,77:e6:94:6a:cf:9d,Windows 11_Firefox_28ec05d3
D0056,Desktop,Ubuntu 22.04,Firefox,bd:58:20:39:bb:e7,Ubuntu 22.04_Firefox_be1c6e29
D0057,Desktop,Ubuntu 22.04,Edge,4f:a1:64:f8:0b:ed,Ubuntu 22.04_Edge_46364ed7
D0058,Laptop,macOS Sonoma,Firefox,97:e2:e7:83:81:9d,macOS Sonoma_Firefox_3c6679da
D0059,Workstation,Ubuntu 22.04,Edge,76:1d:9d:d8:47:e5,Ubuntu 22.04_Edge_17ccff5f
D0060,Desktop,macOS Sonoma,Edge,d9:88:fc:fa:7b:3d,macOS Sonoma_Edge_d0e9e0a8
D0061,Desktop,Windows 11,Brave,7a:9e:0a:5f:05:57,Windows 11_Brave_7272f031
D0062,Laptop,Windows 11,Brave,89:29:a5:61:66:a1,Windows 11_Brave_23b10161
D0063,Laptop,Ubuntu 22.04,Chrome,10:8d:57:79:9d:23,Ubuntu 22.04_Chrome_8b78e177
D0064,Workstation,Ubuntu 22.04,Firefox,11:23:bd:22:1b:06,Ubuntu 22.04_Firefox_ab2d58dd
D0065,Laptop,Windows 11,Chrome,16:da:65:b5:4c:17,Windows 11_Chrome_f30ae9e2
D0066,Laptop,Windows 11,Firefox,d7:b7:5d:86:7b:4b,Windows 11_Firefox_81fe3e40
D0067,Desktop,Ubuntu 22.04,Edge,22:46:d1:f8:56:f0,Ubuntu 22.04_Edge_4b57afee
D0068,Desktop,Windows 10,Edge,c4:2e:d8:aa:af:67,Windows 10_Edge_fedf32b8
D0069,Desktop,Ubuntu 22.04,Edge,85:dd:97:20:56:e8,Ubuntu 22.04_Edge_6acdf861
D0070,Workstation,Windows 11,Firefox,e0:ab:59:b1:7c:ec,Windows 11_Firefox_8f203b09
D0071,Laptop,Windows 11,Edge,b0:25:53:a0:21:75,Windows 11_Edge_7dafeeed
D0072,Desktop,Windows 11,Chrome,2a:8e:9c:20:ff:f9,Windows 11_Chrome_cebc6c8b
D0073,Workstation,Windows 10,Firefox,68:ad:f3:96:be:47,Windows 10_Firefox_e34f311c
D0074,Laptop,Ubuntu 22.04,Edge,a5:9d:ba:a3:bb:18,Ubuntu 22.04_Edge_7b10956b
D0075,Workstation,Windows 10,Edge,33:b7:16:74:34:45,Windows 10_Edge_a3c9de83
D0076,Desktop,Windows 11,Chrome,21:18:7f:b4:61:8b,Windows 11_Chrome_20aec863
D0077,Workstation,macOS Sonoma,Brave,6c:85:30:2e:dc:3d,macOS Sonoma_Brave_908ee50b
D0078,Laptop,Windows 11,Brave,c2:46:89:d0:bb:ad,Windows 11_Brave_ec427c5e
D0079,Workstation,macOS Sonoma,Firefox,4d:ef:43:70:a0:fc,macOS Sonoma_Firefox_101b6082
D0080,Laptop,Windows 11,Chrome,09:7d:d3:33:b3:c3,Windows 11_Chrome_bdfd6f6b
D0081,Desktop,Windows 11,Edge,be:68:c3:eb:4c:73,Windows 11_Edge_391fb5f4
D0082,Desktop,Windows 11,Firefox,8f:91:a3:25:f2:c3,Windows 11_Firefox_ffaf1458
D0083,Desktop,Windows 10,Firefox,aa:87:46:8f:d7:32,Windows 10_Firefox_03bec472
D0084,Desktop,Windows 11,Chrome,1e:05:f2:72:6a:00,Windows 11_Chrome_64b7c647
D0085,Laptop,macOS Sonoma,Brave,3e:02:b2:4b:b4:3e,macOS Sonoma_Brave_69c5a8b7
D0086,Workstation,Windows 10,Firefox,58:24:af:1d:6f:dd,Windows 10_Firefox_87c32ee7
D0087,Desktop,macOS Sonoma,Firefox,f6:89:71:74:0f:78,macOS Sonoma_Firefox_d7575609
D0088,Laptop,Windows 10,Edge,87:bc:6a:ea:d8:c8,Windows 10_Edge_9d91d30c
D0089,Workstation,Windows 11,Chrome,ae:b2:3d:6d:c1:0b,Windows 11_Chrome_3955650d
D0090,Laptop,Windows 10,Brave,ee:5f:42:8c:61:c1,Windows 10_Brave_55ef007c
D0091,Workstation,Windows 11,Firefox,b7:d5:b5:59:96:1f,Windows 11_Firefox_105ff0da
D0092,Desktop,macOS Sonoma,Chrome,db:5d:08:cb:a7:90,macOS Sonoma_Chrome_31f242e9
D0093,Laptop,Ubuntu 22.04,Chrome,0d:d7:25:21:95:7b,Ubuntu 22.04_Chrome_07329aa4
D0094,Laptop,Windows 11,Firefox,11:4f:af:65:5e:6f,Windows 11_Firefox_8028ac2d
D0095,Desktop,macOS Sonoma,Edge,f4:14:73:fb:82:9a,macOS Sonoma_Edge_a6c996d7
D0096,Laptop,Ubuntu 22.04,Firefox,dd:66:b7:c1:fe:87,Ubuntu 22.04_Firefox_13da52a8
D0097,Desktop,macOS Sonoma,Brave,cb:5f:0b:02:b5:1c,macOS Sonoma_Brave_dea7303a
D0098,Workstation,Ubuntu 22.04,Chrome,43:06:df:3d:6e:99,Ubuntu 22.04_Chrome_cc5403b5
D0099,Desktop,Windows 11,Chrome,ba:c3:bb:61:4f:42,Windows 11_Chrome_63897ed1
D0100,Workstation,Windows 10,Brave,c7:09:61:63:93:d3,Windows 10_Brave_68200808
D0101,Workstation,Ubuntu 22.04,Edge,be:f2:4e:c3:07:f1,Ubuntu 22.04_Edge_3a46a17b
D0102,Laptop,Windows 11,Brave,18:18:13:f3:e0:96,Windows 11_Brave_7c7a1135
D0103,Desktop,macOS Sonoma,Brave,e0:ad:72:1d:61:6b,macOS Sonoma_Brave_0267cb01
D0104,Desktop,macOS Sonoma,Chrome,e7:15:a4:01:3b:42,macOS Sonoma_Chrome_3d7845c6
D0105,Desktop,Ubuntu 22.04,Firefox,a4:06:24:fa:ee:33,Ubuntu 22.04_Firefox_ceae045c
D0106,Desktop,macOS Sonoma,Chrome,45:fa:eb:60:9e:6e,macOS Sonoma_Chrome_452d2c80
D0107,Laptop,Ubuntu 22.04,Firefox,c5:64:e4:a5:ae:01,Ubuntu 22.04_Firefox_282b8142
D0108,Desktop,Windows 10,Firefox,fc:db:ea:1c:cf:aa,Windows 10_Firefox_7b05c790
D0109,Laptop,Windows 10,Firefox,f2:ed:fc:f9:c3:78,Windows 10_Firefox_908df3f9
D0110,Desktop,Ubuntu 22.04,Chrome,3c:9b:b8:bd:d3:d9,Ubuntu 22.04_Chrome_716d26d0
D0111,Laptop,Windows 10,Firefox,08:db:1f:b1:22:81,Windows 10_Firefox_69ff3c07
D0112,Workstation,Windows 11,Brave,39:5d:46:a3:08:59,Windows 11_Brave_82ae9f2e
D0113,Laptop,Windows 10,Firefox,ff:e8:15:8b:25:f6,Windows 10_Firefox_568ac56a
D0114,Desktop,macOS Sonoma,Chrome,ee:50:51:e2:76:ad,macOS Sonoma_Chrome_0934a81f
D0115,Laptop,Windows 10,Edge,50:dd:d4:55:0e:88,Windows 10_Edge_92136df4
D0116,Desktop,Ubuntu 22.04,Chrome,7c:20:f7:f1:f0:6e,Ubuntu 22.04_Chrome_deb30325
D0117,Workstation,macOS Sonoma,Chrome,10:67:d9:87:c2:a4,macOS Sonoma_Chrome_84339af5
D0118,Laptop,Ubuntu 22.04,Firefox,ed:4c:2f:72:f2:d8,Ubuntu 22.04_Firefox_5b73e3e5
D0119,Desktop,Windows 10,Brave,e9:39:9f:5c:23:3d,Windows 10_Brave_41a44b57
D0120,Workstation,Windows 10,Brave,21:42:db:8d:58:76,Windows 10_Brave_0d10e9dd
D0121,Laptop,Windows 11,Firefox,7c:0c:79:6a:7a:43,Windows 11_Firefox_38649186
D0122,Desktop,Windows 10,Firefox,10:6f:6e:8f:55:b4,Windows 10_Firefox_a827362c
D0123,Workstation,Windows 11,Edge,99:22:ef:4c:1e:01,Windows 11_Edge_cdb90615
D0124,Laptop,Ubuntu 22.04,Brave,40:39:a8:ef:4f:b0,Ubuntu 22.04_Brave_12b279ea
D0125,Laptop,Ubuntu 22.04,Edge,87:40:ca:54:a4:4d,Ubuntu 22.04_Edge_f5c90067
D0126,Laptop,macOS Sonoma,Chrome,77:12:3f:43:d1:79,macOS Sonoma_Chrome_d03e6fc5
D0127,Laptop,Windows 10,Edge,2b:8a:69:93:42:9e,Windows 10_Edge_1f998596
D0128,Workstation,Windows 11,Chrome,a2:b8:2c:c4:3c:d7,Windows 11_Chrome_cb1d042c
D0129,Desktop,macOS Sonoma,Edge,84:84:29:a3:63:fb,macOS Sonoma_Edge_d0b7f630
D0130,Workstation,Windows 10,Firefox,8b:f2:fd:cf:fe:9d,Windows 10_Firefox_094d3405
D0131,Desktop,Windows 10,Brave,22:2a:f0:81:2c:6e,Windows 10_Brave_485c7b5f
D0132,Laptop,Windows 10,Brave,83:47:d1:1b:73:87,Windows 10_Brave_714974bd
D0133,Desktop,Windows 10,Brave,e4:70:e9:2e:6f:10,Windows 10_Brave_da04f48e
D0134,Laptop,macOS Sonoma,Chrome,67:3d:c0:d1:47:0e,macOS Sonoma_Chrome_c82644fa
D0135,Desktop,macOS Sonoma,Edge,97:90:93:c0:11:5a,macOS Sonoma_Edge_9473159f
D0136,Workstation,Windows 10,Brave,07:75:b4:71:4f:58,Windows 10_Brave_307b99e9
D0137,Workstation,Ubuntu 22.04,Edge,51:57:f6:b2:d3:00,Ubuntu 22.04_Edge_e4e990f7
D0138,Workstation,macOS Sonoma,Brave,00:38:39:9c:b3:da,macOS Sonoma_Brave_4b25cea9
D0139,Laptop,Ubuntu 22.04,Brave,55:33:12:2c:eb:ee,Ubuntu 22.04_Brave_29f1bc1a
D0140,Workstation,Windows 10,Firefox,6d:ff:a5:7d:c2:95,Windows 10_Firefox_f95aca4e
D0141,Desktop,macOS Sonoma,Firefox,06:96:67:ed:e5:37,macOS Sonoma_Firefox_420229b3
D0142,Laptop,macOS Sonoma,Firefox,d9:df:02:a0:31:f7,macOS Sonoma_Firefox_eaa4820b
D0143,Laptop,macOS Sonoma,Chrome,70:f7:f7:98:bd:34,macOS Sonoma_Chrome_e3ffac94
D0144,Desktop,Windows 11,Chrome,f2:22:94:68:8f:29,Windows 11_Chrome_ac0e34b3
D0145,Desktop,macOS Sonoma,Brave,6d:b4:35:92:32:8e,macOS Sonoma_Brave_d5d445b4
D0146,Desktop,macOS Sonoma,Chrome,65:2e:50:7e:48:c7,macOS Sonoma_Chrome_025fa01d
D0147,Workstation,Windows 10,Chrome,17:63:07:a9:e2:3e,Windows 10_Chrome_f9be9a4b
D0148,Desktop,Windows 11,Brave,f2:46:ab:55:00:de,Windows 11_Brave_43a95f44
D0149,Desktop,Windows 11,Brave,25:d7:c8:d0:8b:43,Windows 11_Brave_e34b1a05
D0150,Laptop,Windows 10,Chrome,61:9b:8a:87:99:cc,Windows 10_Chrome_d1c79f3f
D0151,Desktop,Ubuntu 22.04,Chrome,2b:db:6e:70:18:04,Ubuntu 22.04_Chrome_30fad530
D0152,Desktop,Windows 11,Firefox,9d:5e:69:49:87:f5,Windows 11_Firefox_444b85ee
D0153,Laptop,macOS Sonoma,Brave,dd:37:d8:87:1d:43,macOS Sonoma_Brave_121a352d
D0154,Laptop,Windows 11,Chrome,fe:fd:91:55:e3:ca,Windows 11_Chrome_ccf6cf22
D0155,Workstation,Windows 10,Brave,60:80:bb:65:cc:b1,Windows 10_Brave_429ae762
D0156,Laptop,Windows 10,Edge,6e:47:83:b2:82:e2,Windows 10_Edge_79633a06
D0157,Workstation,Windows 10,Chrome,92:eb:af:73:1f:0d,Windows 10_Chrome_e3a05222
D0158,Workstation,macOS Sonoma,Chrome,02:26:be:e5:c7:38,macOS Sonoma_Chrome_86bd677a
D0159,Laptop,Ubuntu 22.04,Edge,03:c2:73:8a:a4:a6,Ubuntu 22.04_Edge_7b8a4348
D0160,Laptop,Ubuntu 22.04,Firefox,54:57:a3:2a:5b:fb,Ubuntu 22.04_Firefox_aa8ab50c
D0161,Laptop,Ubuntu 22.04,Firefox,b9:aa:a7:ab:ec:26,Ubuntu 22.04_Firefox_905c191d
D0162,Workstation,Windows 11,Chrome,45:c3:8c:13:ed:83,Windows 11_Chrome_2e73157e
D0163,Laptop,Windows 10,Firefox,bb:02:f2:b8:22:2e,Windows 10_Firefox_e16b5e73
D0164,Workstation,Windows 11,Chrome,1b:87:b3:c7:22:ad,Windows 11_Chrome_2489522b
D0165,Workstation,Ubuntu 22.04,Brave,e0:a9:a7:3b:a1:dc,Ubuntu 22.04_Brave_83549b11
D0166,Desktop,Windows 11,Chrome,a1:06:3a:42:03:6a,Windows 11_Chrome_7affab0e
D0167,Workstation,Windows 10,Chrome,6e:1f:44:1b:09:63,Windows 10_Chrome_1473c4fb
D0168,Laptop,Windows 11,Brave,1b:e2:a9:02:53:94,Windows 11_Brave_7792e5ec
D0169,Workstation,macOS Sonoma,Firefox,09:20:c8:87:4e:72,macOS Sonoma_Firefox_9fe98339
D0170,Desktop,Windows 11,Firefox,c2:3a:05:30:f5:bc,Windows 11_Firefox_07c3a83d
D0171,Workstation,Windows 11,Firefox,a8:08:de:a3:f2:f3,Windows 11_Firefox_ffb2fe08
D0172,Workstation,Ubuntu 22.04,Firefox,76:c6:f2:ff:25:6c,Ubuntu 22.04_Firefox_81ab8a8f
D0173,Laptop,macOS Sonoma,Firefox,ed:b4:01:3f:d4:00,macOS Sonoma_Firefox_bc5f515a
D0174,Workstation,Windows 11,Firefox,81:fb:b6:d4:4c:44,Windows 11_Firefox_8ecd3665
D0175,Laptop,Windows 10,Edge,5a:fb:c5:99:8c:28,Windows 10_Edge_34d09663
D0176,Laptop,Ubuntu 22.04,Edge,9c:9d:3b:6d:40:06,Ubuntu 22.04_Edge_de830d68
D0177,Laptop,Windows 11,Firefox,b1:4c:57:26:dc:0c,Windows 11_Firefox_8f0069c1
D0178,Laptop,Windows 11,Brave,e2:df:f0:51:f2:89,Windows 11_Brave_fae8acd6
D0179,Laptop,macOS Sonoma,Edge,b9:9e:9b:17:34:aa,macOS Sonoma_Edge_6af31cb5
D0180,Desktop,Windows 11,Brave,4c:53:d2:16:e4:cb,Windows 11_Brave_8ab45a2c
D0181,Desktop,macOS Sonoma,Edge,ec:ba:58:71:a6:f9,macOS Sonoma_Edge_7c8494f1
D0182,Desktop,Windows 10,Brave,5b:82:d0:be:c7:1e,Windows 10_Brave_e2a10258
D0183,Laptop,Windows 11,Brave,26:4d:58:8c:d6:82,Windows 11_Brave_737b7d30
D0184,Workstation,Windows 11,Chrome,d2:9a:9e:d8:b0:39,Windows 11_Chrome_aa585afe
D0185,Workstation,Windows 11,Chrome,db:cb:49:5e:d8:ea,Windows 11_Chrome_40e567f7
D0186,Desktop,macOS Sonoma,Firefox,f4:76:f5:7c:88:c0,macOS Sonoma_Firefox_4a4c3e7b
D0187,Laptop,Windows 11,Firefox,06:1c:0a:f2:86:d7,Windows 11_Firefox_1de9cdab
D0188,Workstation,Ubuntu 22.04,Chrome,5f:d2:38:19:e9:05,Ubuntu 22.04_Chrome_105e035f
D0189,Desktop,macOS Sonoma,Edge,10:a4:70:0f:c0:09,macOS Sonoma_Edge_222bc466
D0190,Workstation,Windows 11,Firefox,e2:c3:a4:50:9f:f3,Windows 11_Firefox_f46e2e42
D0191,Workstation,Ubuntu 22.04,Edge,e5:da:16:81:25:2d,Ubuntu 22.04_Edge_755e2cd2
D0192,Laptop,Ubuntu 22.04,Brave,a2:97:81:9f:74:f7,Ubuntu 22.04_Brave_ebcf1d3d
D0193,Workstation,Windows 11,Edge,4f:3a:4d:1d:5f:60,Windows 11_Edge_803f4fc4
D0194,Laptop,macOS Sonoma,Firefox,52:67:88:7d:ab:d7,macOS Sonoma_Firefox_20dcda31
D0195,Laptop,Windows 10,Brave,8b:88:a1:a2:21:bb,Windows 10_Brave_c77af885
D0196,Desktop,Ubuntu 22.04,Brave,9a:ea:1b:bc:11:93,Ubuntu 22.04_Brave_b24039ce
D0197,Desktop,macOS Sonoma,Firefox,0f:61:84:ad:df:ee,macOS Sonoma_Firefox_85a90ab9
D0198,Workstation,macOS Sonoma,Firefox,7c:ac:92:9c:d5:31,macOS Sonoma_Firefox_1732f2d1
D0199,Desktop,macOS Sonoma,Edge,d5:da:ba:5f:6a:98,macOS Sonoma_Edge_68156c2f
D0200,Workstation,Windows 10,Edge,a7:61:aa:9d:af:10,Windows 10_Edge_b4c6ec5d
D0201,Laptop,macOS Sonoma,Brave,55:dd:03:d8:54:38,macOS Sonoma_Brave_c85c2ab1
D0202,Desktop,Windows 11,Edge,e9:80:cb:e6:f6:0c,Windows 11_Edge_0b02915c
D0203,Desktop,Windows 11,Edge,52:a3:62:bb:92:60,Windows 11_Edge_937fd664
D0204,Laptop,macOS Sonoma,Edge,8a:82:80:49:9e:78,macOS Sonoma_Edge_3b2fa917
D0205,Laptop,Windows 11,Brave,30:81:3c:c8:fb:c8,Windows 11_Brave_09500725
D0206,Laptop,macOS Sonoma,Firefox,e0:12:9c:90:23:82,macOS Sonoma_Firefox_acb03d5b
D0207,Workstation,macOS Sonoma,Brave,80:74:c9:b7:a8:bd,macOS Sonoma_Brave_e6efda13
D0208,Desktop,macOS Sonoma,Chrome,58:1d:56:d8:fa:00,macOS Sonoma_Chrome_01eda8dc
D0209,Desktop,Windows 10,Chrome,c2:f0:31:67:17:5f,Windows 10_Chrome_bff32f37
D0210,Desktop,Windows 11,Edge,ce:64:89:46:6a:04,Windows 11_Edge_8a62dfbe
D0211,Desktop,Windows 11,Brave,e1:dd:a3:a5:7a:ec,Windows 11_Brave_1cf41012
D0212,Laptop,Ubuntu 22.04,Chrome,05:11:07:b8:eb:5e,Ubuntu 22.04_Chrome_4e960e20
D0213,Workstation,Windows 11,Brave,99:c8:27:83:28:a0,Windows 11_Brave_9a213ed1
D0214,Laptop,Ubuntu 22.04,Firefox,07:14:0b:6e:94:63,Ubuntu 22.04_Firefox_e9c984c2
D0215,Workstation,Ubuntu 22.04,Edge,f3:e8:ac:a2:2c:9c,Ubuntu 22.04_Edge_4e3fc2bf
D0216,Laptop,macOS Sonoma,Brave,36:b8:f0:1f:bd:50,macOS Sonoma_Brave_d3b7042b
D0217,Laptop,Ubuntu 22.04,Firefox,f5:12:09:2d:cb:40,Ubuntu 22.04_Firefox_73a1cfe5
D0218,Workstation,Ubuntu 22.04,Firefox,9b:5c:e9:50:96:b9,Ubuntu 22.04_Firefox_0458082f
D0219,Workstation,macOS Sonoma,Chrome,ab:76:c6:c7:c5:1a,macOS Sonoma_Chrome_b8bb45d9
D0220,Workstation,Ubuntu 22.04,Firefox,2c:08:66:3a:85:a3,Ubuntu 22.04_Firefox_bd86a46a
D0221,Desktop,macOS Sonoma,Edge,17:cc:50:3b:1f:5a,macOS Sonoma_Edge_a3a5ad76
D0222,Laptop,Windows 10,Edge,2e:6e:df:8d:de:71,Windows 10_Edge_87e4899e
D0223,Laptop,macOS Sonoma,Chrome,b8:d6:5e:fd:34:ff,macOS Sonoma_Chrome_e1a9e880
D0224,Workstation,macOS Sonoma,Edge,1b:34:ce:26:49:de,macOS Sonoma_Edge_ca169982
D0225,Desktop,Windows 11,Firefox,4b:3d:1c:fe:9a:c5,Windows 11_Firefox_30360564
D0226,Workstation,Windows 10,Firefox,1d:48:e8:09:26:34,Windows 10_Firefox_c0d2d4c8
D0227,Desktop,macOS Sonoma,Chrome,23:6a:a9:3a:15:06,macOS Sonoma_Chrome_fe998419
D0228,Workstation,Windows 11,Brave,4b:73:b9:df:5b:73,Windows 11_Brave_b9808bc8
D0229,Workstation,Windows 10,Brave,95:ed:90:c5:2a:0c,Windows 10_Brave_31ab8739
D0230,Desktop,macOS Sonoma,Chrome,bb:c5:3a:9b:91:17,macOS Sonoma_Chrome_d98d80a2
D0231,Desktop,Windows 11,Chrome,7c:d9:ce:4d:76:40,Windows 11_Chrome_ff7de29e
D0232,Desktop,Ubuntu 22.04,Brave,7d:c1:fe:6d:cb:19,Ubuntu 22.04_Brave_ccd8b460
D0233,Laptop,Windows 11,Chrome,ee:a3:91:55:cd:a7,Windows 11_Chrome_67cf35ed
D0234,Laptop,Windows 11,Chrome,7a:5a:70:83:05:c1,Windows 11_Chrome_7f78aa34
D0235,Laptop,Ubuntu 22.04,Chrome,5a:66:9e:f5:9e:ac,Ubuntu 22.04_Chrome_cd24508f
D0236,Laptop,macOS Sonoma,Chrome,71:53:51:28:31:94,macOS Sonoma_Chrome_57905d4d
D0237,Laptop,macOS Sonoma,Edge,c9:77:a0:00:fd:27,macOS Sonoma_Edge_4e74f660
D0238,Laptop,macOS Sonoma,Edge,6d:53:69:4a:ad:18,macOS Sonoma_Edge_8a2d1290
D0239,Desktop,Ubuntu 22.04,Chrome,f5:cf:dc:4f:74:d0,Ubuntu 22.04_Chrome_6701d428
D0240,Laptop,Windows 11,Edge,25:a2:b3:47:7f:32,Windows 11_Edge_021be45f
D0241,Laptop,Ubuntu 22.04,Brave,e6:b6:0c:20:e9:d9,Ubuntu 22.04_Brave_1b8bded9
D0242,Laptop,Windows 10,Brave,2c:28:37:ba:49:34,Windows 10_Brave_239ab233
D0243,Workstation,Windows 11,Chrome,24:c8:94:0a:11:21,Windows 11_Chrome_97f43d62
D0244,Laptop,Windows 11,Brave,6a:b7:0a:4c:39:3c,Windows 11_Brave_c1f8cfda
D0245,Desktop,Windows 11,Firefox,7c:1a:92:e8:0e:13,Windows 11_Firefox_fe1f395c
D0246,Laptop,Windows 11,Firefox,87:49:18:48:36:9f,Windows 11_Firefox_62ff34fb
D0247,Laptop,Ubuntu 22.04,Brave,7b:19:49:46:85:34,Ubuntu 22.04_Brave_20e44a04
D0248,Workstation,Ubuntu 22.04,Chrome,4c:a8:2d:d3:be:d8,Ubuntu 22.04_Chrome_4476e215
D0249,Laptop,macOS Sonoma,Firefox,d1:9c:bb:8f:65:1a,macOS Sonoma_Firefox_154eb276
