entity_id,entity_type,department,geo_location,device_id,device_fingerprint,auth_method,normal_login_start,normal_login_end,normal_session_duration,normal_failed_login_attempts,normal_resources
U0018,user,IT,Chennai,D0508,Ubuntu 22.04_Edge_a5f82a82,Password,8,10,138,0,"Internal Server,CRM,VPN,Confluence"
U0019,user,IT,Chennai,D0628,Windows 11_Chrome_f94a3a72,MFA,8,10,64,0,"Confluence,CRM,Database,Internal Server"
U0020,edge_device,Finance,Bangalore,D0500,Ubuntu 22.04_Firefox_48e1e766,Biometric,9,11,88,0,"Jira,VPN,GitHub"
U0021,service_account,Support,Bangalore,D0361,Windows 11_Edge_35693e91,Biometric,8,10,121,0,"Internal Server,Email"
U0022,user,Engineering,Chennai,D0339,Windows 10_Firefox_11815b4d,Password,9,11,151,0,"Internal Server,GitHub"
U0023,user,Sales,Bangalore,D0558,macOS Sonoma_Brave_7478f9fe,Biometric,9,11,125,0,"VPN,Confluence,HR Portal,Internal Server"
U0024,user,Finance,Mumbai,D0291,Windows 11_Firefox_70c80ad8,Biometric,9,11,169,0,"GitHub,Jira,Internal Server"
U0025,user,Support,Hyderabad,D0285,Windows 10_Chrome_e1d6fb1d,Password,9,11,74,0,"Database,Confluence,GitHub,Finance DB"
U0026,user,IT,Chennai,D0332,Windows 11_Brave_e2a50655,Biometric,9,11,83,1,"Internal Server,Confluence,VPN,Jira"
U0027,user,Support,Chennai,D0479,Ubuntu 22.04_Edge_82860cd2,Biometric,9,11,107,0,"HR Portal,VPN,Internal Server,Confluence"
U0028,edge_device,IT,Chennai,D0055,Windows 10_Firefox_fdff242d,MFA,9,11,68,0,"GitHub,Confluence,Internal Server,Email"
U0029,service_account,Marketing,Mumbai,D0249,macOS Sonoma_Firefox_876938ab,Biometric,8,10,60,0,"Email,HR Portal"
U0030,user,HR,Chennai,D0224,Windows 10_Firefox_351e83bd,MFA,8,10,134,0,"Internal Server,Email,Finance DB,CRM"
U0031,user,Sales,Mumbai,D0134,Ubuntu 22.04_Brave_59d02279,Password,8,10,160,1,"Jira,GitHub"
U0032,user,Engineering,Bangalore,D0534,Windows 10_Firefox_622dee3d,Biometric,9,11,129,0,"Jira,Email"
U0033,user,IT,Mumbai,D0137,Ubuntu 22.04_Brave_520c4125,Password,10,12,133,0,"CRM,Finance DB,Internal Server"
U0034,service_account,Finance,Pune,D0110,macOS Sonoma_Firefox_37085d11,Password,8,10,113,0,"Database,VPN"
U0035,user,IT,Pune,D0182,Windows 10_Edge_8fa9db8a,Biometric,8,10,149,1,"Confluence,HR Portal,Database,Finance DB"
U0036,user,IT,Bangalore,D0433,Windows 10_Brave_b7b7b913,MFA,10,12,60,0,"Database,GitHub,HR Portal"
U0037,user,Sales,Hyderabad,D0560,macOS Sonoma_Chrome_3c831f3b,MFA,8,10,125,0,"Database,VPN,Finance DB,Confluence"
U0038,user,HR,Hyderabad,D0484,Windows 11_Chrome_35846729,Biometric,10,12,62,0,"CRM,Confluence"
U0039,user,HR,Hyderabad,D0518,Windows 10_Brave_dc4b091b,Password,8,10,77,0,"Confluence,GitHub,Email,HR Portal"
U0040,user,Engineering,Bangalore,D0133,macOS Sonoma_Brave_881304cb,MFA,10,12,163,0,"Finance DB,Internal Server,VPN"
U0041,user,Marketing,Bangalore,D0177,Ubuntu 22.04_Firefox_e42690e9,Biometric,8,10,155,1,"Confluence,Finance DB,HR Portal,Database"
U0042,user,HR,Pune,D0073,macOS Sonoma_Firefox_5abe975d,Password,8,10,138,0,"Finance DB,Confluence"
U0043,user,Engineering,Chennai,D0255,macOS Sonoma_Edge_27b355da,MFA,9,11,167,1,"Database,Confluence"
U0044,user,Support,Chennai,D0579,Ubuntu 22.04_Firefox_00ee74b5,Password,8,10,110,0,"Database,Jira,HR Portal"
U0045,user,Finance,Chennai,D0651,macOS Sonoma_Edge_42454d9a,MFA,10,12,159,0,"GitHub,HR Portal,Database"
U0046,user,Engineering,Bangalore,D0597,macOS Sonoma_Firefox_386119a4,Biometric,8,10,117,0,"GitHub,VPN"
U0047,user,Finance,Mumbai,D0668,Windows 11_Brave_806d4523,MFA,10,12,86,1,"Database,Finance DB,VPN"
U0048,user,Engineering,Pune,D0353,Windows 10_Brave_c67af810,MFA,10,12,67,1,"Internal Server,CRM,HR Portal"
U0049,user,Support,Bangalore,D0077,Windows 11_Edge_6957b39d,MFA,8,10,168,0,"Jira,Database"
U0050,user,Marketing,Pune,D0149,macOS Sonoma_Firefox_ba36af1b,MFA,10,12,133,1,"Finance DB,Confluence"
U0051,user,Marketing,Mumbai,D0347,Windows 11_Brave_87c3f3f3,Biometric,10,12,88,0,"Database,Internal Server"
U0052,user,Marketing,Hyderabad,D0091,Windows 10_Edge_d5cd937a,Biometric,8,10,66,0,"CRM,Finance DB,Internal Server,Database"
U0053,user,Support,Bangalore,D0542,Windows 10_Edge_0dc2356f,Password,8,10,176,0,"Email,GitHub"
U0054,service_account,Finance,Chennai,D0011,Ubuntu 22.04_Brave_ad8b7590,Biometric,9,11,88,0,"Finance DB,Internal Server,GitHub"
U0055,user,HR,Mumbai,D0064,Ubuntu 22.04_Chrome_fee3c053,MFA,9,11,119,0,"Database,Internal Server,CRM,HR Portal"
U0056,user,Marketing,Pune,D0637,Ubuntu 22.04_Edge_d015a9c7,Biometric,8,10,135,0,"VPN,GitHub"
U0057,user,IT,Mumbai,D0526,Windows 10_Edge_50d188c4,Password,9,11,126,1,"Jira,Internal Server,Database"
U0058,user,HR,Pune,D0175,macOS Sonoma_Brave_5049e579,Biometric,9,11,111,1,"VPN,Finance DB"
U0059,user,Marketing,Pune,D0257,macOS Sonoma_Chrome_5f97f230,Biometric,9,11,157,0,"Email,HR Portal,Internal Server"
U0060,user,Engineering,Chennai,D0669,macOS Sonoma_Chrome_63b7c765,Password,10,12,60,0,"Finance DB,HR Portal,Database,Email"
U0061,user,Marketing,Bangalore,D0032,Windows 10_Brave_076abb34,MFA,8,10,83,0,"Confluence,VPN,Email"
U0062,user,Marketing,Pune,D0370,Windows 11_Chrome_c704e87b,MFA,9,11,116,0,"GitHub,Jira"
U0063,user,Finance,Bangalore,D0486,Windows 11_Firefox_d037babf,Biometric,8,10,143,0,"Finance DB,Database"
U0064,user,Sales,Chennai,D0078,Windows 10_Edge_2ac3c327,Biometric,9,11,117,1,"Database,Confluence"
U0065,user,IT,Mumbai,D0667,Ubuntu 22.04_Brave_38710d9f,MFA,8,10,134,0,"Internal Server,Finance DB,Jira"
U0066,edge_device,Finance,Mumbai,D0550,Windows 11_Brave_6bffdf06,MFA,10,12,122,0,"GitHub,Email,Finance DB,Internal Server"
U0067,user,Sales,Chennai,D0212,Windows 11_Edge_82ca07ee,Biometric,10,12,164,0,"Email,Internal Server,VPN,GitHub"
U0068,user,Marketing,Mumbai,D0056,Ubuntu 22.04_Firefox_f259152b,Biometric,10,12,148,0,"Internal Server,VPN,Database,CRM"
U0069,user,Finance,Mumbai,D0136,Windows 11_Edge_de912cf3,Biometric,10,12,144,0,"CRM,Jira,GitHub,Finance DB"
U0070,service_account,IT,Chennai,D0673,Ubuntu 22.04_Chrome_7959fc61,MFA,10,12,69,0,"Email,Internal Server,Database,Jira"
U0071,user,Finance,Pune,D0341,Windows 10_Firefox_400c0e3a,Password,8,10,75,1,"Finance DB,Email,Confluence"
U0072,service_account,HR,Hyderabad,D0003,Windows 10_Edge_ab21a3ba,Biometric,10,12,93,0,"VPN,Email"
U0073,user,Finance,Mumbai,D0228,Windows 11_Firefox_b302fea4,MFA,8,10,90,1,"HR Portal,GitHub"
U0074,user,Finance,Hyderabad,D0082,macOS Sonoma_Brave_5ba415fa,Password,8,10,152,0,"Confluence,VPN,Jira,CRM"
U0075,user,Finance,Hyderabad,D0474,Windows 11_Firefox_e8ec922a,MFA,9,11,149,0,"GitHub,CRM,Database"
U0076,user,HR,Chennai,D0696,macOS Sonoma_Brave_6e6a71fc,MFA,8,10,99,0,"GitHub,Confluence"
U0077,user,HR,Bangalore,D0512,macOS Sonoma_Firefox_23532dd9,Password,10,12,122,0,"GitHub,HR Portal,Email,Jira"
U0078,user,HR,Bangalore,D0606,Windows 11_Chrome_1f74ef66,Biometric,8,10,142,0,"VPN,Confluence,GitHub"
U0079,user,IT,Mumbai,D0121,Ubuntu 22.04_Chrome_80867191,Biometric,9,11,102,0,"CRM,HR Portal"
U0080,user,IT,Mumbai,D0312,Windows 10_Brave_7d8c9ada,Biometric,9,11,94,0,"Database,Finance DB,Internal Server"
U0081,service_account,Sales,Mumbai,D0205,Windows 11_Edge_5701fd16,Biometric,8,10,169,1,"Jira,Finance DB,Internal Server,GitHub"
U0082,user,Engineering,Pune,D0245,Ubuntu 22.04_Chrome_14395bc6,MFA,10,12,124,0,"Finance DB,Internal Server"
U0083,user,Support,Mumbai,D0688,Windows 10_Firefox_928c510f,Password,8,10,126,1,"Confluence,Database,VPN"
U0084,user,Engineering,Chennai,D0272,Windows 11_Chrome_50fed5ff,Biometric,9,11,84,1,"Internal Server,GitHub"
U0085,service_account,Marketing,Bangalore,D0132,macOS Sonoma_Firefox_1dd4a5ac,MFA,10,12,168,0,"Jira,GitHub"
U0086,user,HR,Hyderabad,D0682,Windows 10_Edge_a7447201,Biometric,9,11,101,0,"Jira,VPN,Confluence"
U0087,service_account,Finance,Bangalore,D0061,macOS Sonoma_Firefox_ab717d0d,MFA,8,10,179,0,"Confluence,CRM"
U0088,user,Support,Chennai,D0311,Windows 10_Firefox_2504c816,Password,8,10,146,0,"Email,HR Portal,CRM"
U0089,user,Sales,Bangalore,D0031,macOS Sonoma_Firefox_c9c41844,Password,9,11,136,0,"VPN,Internal Server"
U0090,user,Sales,Bangalore,D0070,macOS Sonoma_Chrome_f42d8e66,Biometric,10,12,107,0,"Confluence,VPN,Email"
U0091,user,Support,Mumbai,D0602,Windows 10_Firefox_bc658de8,Password,8,10,142,0,"Confluence,Finance DB,Email,Jira"
U0092,user,Engineering,Mumbai,D0391,Windows 11_Edge_078b3d1e,Biometric,8,10,101,0,"Database,Finance DB,Internal Server"
U0093,user,IT,Pune,D0045,Ubuntu 22.04_Edge_4cd7ec5d,MFA,10,12,147,0,"Confluence,Internal Server,VPN"
U0094,user,IT,Mumbai,D0627,Windows 11_Brave_38165b4a,MFA,10,12,139,0,"Database,GitHub,Email"
U0095,user,IT,Mumbai,D0071,Windows 11_Brave_bce6701f,MFA,10,12,64,0,"Jira,CRM"
U0096,user,Support,Bangalore,D0517,Ubuntu 22.04_Edge_3bc37a4f,Biometric,9,11,106,0,"GitHub,Database,HR Portal,Finance DB"
U0097,edge_device,IT,Mumbai,D0656,Windows 11_Edge_7e30e540,Password,8,10,153,0,"Email,Database"
U0098,user,Finance,Chennai,D0250,Windows 11_Chrome_b96435af,MFA,9,11,115,0,"Confluence,Database,VPN"
U0099,user,HR,Pune,D0210,Windows 11_Chrome_462bf2fc,Password,8,10,178,0,"CRM,Jira"
U0100,user,Marketing,Mumbai,D0166,Windows 10_Edge_b918cb45,Biometric,10,12,68,0,"GitHub,Jira,Confluence,Internal Server"
U0101,user,Sales,Bangalore,D0471,Windows 11_Edge_63a56645,Biometric,10,12,79,0,"CRM,Confluence,Internal Server"
U0102,user,Marketing,Hyderabad,D0165,macOS Sonoma_Brave_09fdca9e,Password,8,10,107,0,"Email,GitHub"
U0103,user,IT,Chennai,D0642,Windows 11_Brave_0b9a243c,Biometric,10,12,163,0,"HR Portal,Email,CRM"
U0104,user,HR,Mumbai,D0324,macOS Sonoma_Brave_b38e2905,MFA,10,12,148,0,"HR Portal,Jira,VPN"
U0105,user,IT,Bangalore,D0066,Ubuntu 22.04_Brave_89c8cb87,Password,9,11,89,0,"Email,Database,GitHub,HR Portal"
U0106,user,Sales,Chennai,D0410,Windows 10_Edge_fde1889b,MFA,9,11,80,0,"Internal Server,Finance DB"
U0107,user,IT,Hyderabad,D0050,Windows 10_Edge_6c03b874,Biometric,10,12,170,1,"Jira,HR Portal,Internal Server,GitHub"
U0108,user,HR,Bangalore,D0119,Windows 10_Chrome_705688c8,Password,9,11,170,1,"GitHub,Jira,HR Portal"
U0109,user,Engineering,Bangalore,D0193,Ubuntu 22.04_Brave_84a1ebc2,MFA,8,10,88,0,"HR Portal,GitHub"
U0110,edge_device,Engineering,Pune,D0040,macOS Sonoma_Firefox_130b4ee2,Biometric,10,12,146,1,"Internal Server,CRM"
U0111,user,Support,Chennai,D0260,Windows 10_Edge_28480948,Biometric,10,12,63,0,"VPN,GitHub,Email"
U0112,user,Finance,Mumbai,D0423,Windows 10_Firefox_4583f4ea,Password,10,12,178,0,"Finance DB,Confluence,HR Portal"
U0113,user,IT,Chennai,D0007,Windows 10_Chrome_f6e33b80,Password,8,10,172,1,"Internal Server,CRM,Jira,Confluence"
U0114,user,Marketing,Pune,D0102,Windows 10_Edge_32b0fed3,Biometric,9,11,83,1,"VPN,GitHub,Finance DB,Email"
U0115,user,Engineering,Mumbai,D0544,Windows 11_Brave_e4b61364,MFA,8,10,168,0,"Internal Server,CRM"
U0116,user,HR,Hyderabad,D0300,Windows 11_Brave_75b654cf,Biometric,9,11,165,0,"Jira,GitHub,CRM,Database"
U0117,user,IT,Hyderabad,D0396,Ubuntu 22.04_Edge_65cfe4cb,Password,9,11,83,0,"HR Portal,Internal Server,GitHub"
U0118,user,HR,Mumbai,D0583,macOS Sonoma_Chrome_73b5d0c7,MFA,10,12,79,0,"VPN,Jira,Database,Internal Server"
U0119,user,Finance,Bangalore,D0319,Windows 11_Chrome_bc2319e5,Biometric,8,10,90,0,"CRM,GitHub,HR Portal,Jira"
U0120,user,Marketing,Bangalore,D0146,Windows 11_Brave_f5993316,MFA,8,10,70,1,"GitHub,Database"
U0121,user,Marketing,Mumbai,D0488,Ubuntu 22.04_Chrome_88cbaa9c,MFA,9,11,64,0,"Confluence,CRM"
U0122,user,HR,Mumbai,D0354,Ubuntu 22.04_Chrome_eb3143ed,Biometric,9,11,111,1,"Jira,Database,CRM"
U0123,user,Engineering,Pune,D0209,Windows 11_Chrome_838ea6c4,Password,10,12,70,0,"Finance DB,Internal Server,VPN"
U0124,edge_device,Marketing,Pune,D0697,Windows 10_Chrome_b2299e68,Password,9,11,110,0,"Finance DB,Internal Server"
U0125,user,Sales,Mumbai,D0362,macOS Sonoma_Edge_417f012c,MFA,8,10,163,1,"Email,VPN"
U0126,user,IT,Mumbai,D0087,macOS Sonoma_Brave_dd541e5e,Password,8,10,77,1,"Jira,Confluence,GitHub,VPN"
U0127,user,IT,Bangalore,D0632,Windows 10_Chrome_b4a8fba2,MFA,8,10,70,0,"Finance DB,Database,Jira,Confluence"
U0128,user,Marketing,Bangalore,D0483,macOS Sonoma_Firefox_8f754c88,Biometric,10,12,170,0,"Database,Internal Server"
U0129,user,IT,Chennai,D0635,Windows 11_Chrome_7ad166ea,Password,9,11,106,0,"Finance DB,Database,Jira,VPN"
U0130,user,Finance,Mumbai,D0042,macOS Sonoma_Brave_f0c09c7b,MFA,9,11,127,0,"Jira,HR Portal"
U0131,user,IT,Chennai,D0109,Windows 11_Chrome_232d352b,MFA,8,10,64,0,"Internal Server,Jira,Database"
U0132,user,Marketing,Mumbai,D0692,macOS Sonoma_Firefox_76364ba4,Biometric,8,10,174,0,"CRM,Email"
U0133,user,Sales,Chennai,D0057,Windows 10_Edge_a0a01fb4,Biometric,9,11,148,0,"Jira,Finance DB"
U0134,user,Finance,Bangalore,D0425,Windows 10_Brave_aa4ec550,Password,8,10,60,0,"CRM,Email,GitHub"
U0135,user,IT,Mumbai,D0516,Windows 11_Firefox_d42aafff,MFA,9,11,106,0,"Finance DB,Email"
U0136,user,HR,Hyderabad,D0025,macOS Sonoma_Brave_6cd9e0ea,Password,9,11,69,0,"Confluence,GitHub,Email"
U0137,user,Sales,Mumbai,D0219,Windows 11_Edge_09f5798b,Biometric,9,11,146,0,"HR Portal,Internal Server,Jira,VPN"
U0138,user,HR,Chennai,D0432,Ubuntu 22.04_Firefox_19011e85,MFA,8,10,178,0,"Internal Server,Finance DB,HR Portal"
U0139,user,Engineering,Bangalore,D0282,Windows 11_Firefox_2f20dfd0,MFA,8,10,146,0,"Email,Internal Server"
U0140,user,Support,Mumbai,D0111,macOS Sonoma_Brave_bcef9a59,Password,8,10,145,1,"Jira,HR Portal,Email"
U0141,user,Sales,Hyderabad,D0083,Ubuntu 22.04_Chrome_72840a35,Password,10,12,87,0,"GitHub,Confluence,Internal Server,Database"
U0142,user,Engineering,Mumbai,D0052,Windows 11_Firefox_d56f06d8,MFA,9,11,139,0,"Internal Server,Finance DB,HR Portal"
U0143,user,Sales,Pune,D0221,Windows 11_Chrome_bb3dc948,Biometric,9,11,111,0,"Internal Server,Jira,Database"
U0144,user,HR,Chennai,D0670,macOS Sonoma_Firefox_923fb1cd,MFA,9,11,76,0,"Confluence,VPN,HR Portal,Database"
U0145,user,Marketing,Bangalore,D0546,Windows 11_Brave_01dfe3e9,Biometric,10,12,96,1,"Email,HR Portal,CRM"
U0146,user,IT,Hyderabad,D0303,Ubuntu 22.04_Brave_2c3f968a,Biometric,10,12,152,0,"Confluence,Email"
U0147,user,Support,Mumbai,D0578,Ubuntu 22.04_Brave_bdba178a,Biometric,9,11,104,0,"GitHub,Finance DB,VPN"
U0148,user,Support,Bangalore,D0216,Windows 10_Chrome_7869a918,MFA,9,11,176,0,"Database,HR Portal,VPN,Email"
U0149,user,Support,Hyderabad,D0236,Windows 11_Brave_f360f174,MFA,9,11,146,0,"Internal Server,Jira,HR Portal,Finance DB"
U0150,user,Marketing,Hyderabad,D0019,macOS Sonoma_Brave_5224b3bf,Biometric,10,12,120,0,"Email,HR Portal,VPN,Confluence"
U0151,user,HR,Pune,D0251,Windows 10_Chrome_b4fc6955,MFA,10,12,176,0,"Database,VPN,HR Portal"
U0152,user,IT,Hyderabad,D0261,Ubuntu 22.04_Firefox_7dfa2ed7,Biometric,10,12,115,1,"Internal Server,CRM"
U0153,user,IT,Bangalore,D0431,Windows 11_Firefox_9f9c89c5,Biometric,9,11,66,0,"Finance DB,Confluence"
U0154,user,Engineering,Pune,D0265,macOS Sonoma_Brave_2063a9a8,Biometric,8,10,124,0,"Database,Email,Confluence"
U0155,user,Sales,Pune,D0062,Windows 11_Chrome_d381597b,MFA,8,10,112,0,"HR Portal,Email,VPN,Internal Server"
U0156,user,Marketing,Mumbai,D0214,macOS Sonoma_Firefox_68dcb55b,Password,8,10,83,0,"CRM,Internal Server,Email,VPN"
U0157,edge_device,Marketing,Bangalore,D0378,Windows 10_Edge_c07b95b8,MFA,9,11,82,1,"Email,CRM,VPN,Finance DB"
U0158,user,Marketing,Mumbai,D0030,macOS Sonoma_Chrome_41491547,Biometric,9,11,163,1,"GitHub,Finance DB,HR Portal"
U0159,user,Marketing,Chennai,D0183,Ubuntu 22.04_Chrome_b96df4cf,Password,10,12,165,1,"Email,Confluence,GitHub"
U0160,user,Finance,Mumbai,D0307,macOS Sonoma_Brave_be5b8309,Biometric,8,10,125,0,"HR Portal,Confluence,Internal Server"
U0161,user,Finance,Mumbai,D0389,macOS Sonoma_Edge_51aa64d2,Password,10,12,77,1,"GitHub,Internal Server"
U0162,user,Sales,Chennai,D0330,Windows 10_Edge_6988b62a,MFA,10,12,75,0,"GitHub,Confluence,Jira,Finance DB"
U0163,user,Sales,Bangalore,D0438,Ubuntu 22.04_Chrome_e0e4c9d5,MFA,8,10,122,0,"VPN,Confluence,Database"
U0164,user,IT,Chennai,D0297,Ubuntu 22.04_Chrome_e6d61f29,Biometric,8,10,82,0,"VPN,HR Portal,Finance DB"
U0165,user,Finance,Bangalore,D0586,Windows 10_Brave_cae80ff9,Password,10,12,129,0,"Internal Server,Finance DB,HR Portal"
U0166,user,Finance,Pune,D0343,Ubuntu 22.04_Edge_cd6d4aa0,MFA,10,12,170,0,"Internal Server,GitHub,HR Portal,Email"
U0167,service_account,IT,Bangalore,D0437,Windows 11_Chrome_e82724f8,Biometric,9,11,118,1,"Database,Email,Finance DB,HR Portal"
U0168,user,Sales,Mumbai,D0581,Windows 11_Chrome_1e2ea34c,MFA,9,11,148,0,"GitHub,VPN"
U0169,user,Sales,Mumbai,D0327,Windows 11_Brave_dbf9f9da,Biometric,8,10,159,1,"Confluence,Email"
U0170,user,Marketing,Pune,D0363,Windows 10_Chrome_b3cde9eb,Biometric,9,11,147,0,"VPN,Email,HR Portal"
U0171,user,Engineering,Hyderabad,D0619,Windows 11_Brave_bd70a308,MFA,9,11,155,0,"HR Portal,Internal Server"
U0172,user,IT,Hyderabad,D0580,Windows 10_Brave_68eb3964,Biometric,10,12,167,1,"VPN,Finance DB,Database,GitHub"
U0173,user,Finance,Pune,D0232,Windows 10_Brave_307fc77a,Biometric,8,10,139,1,"VPN,Database,HR Portal,Finance DB"
U0174,user,Finance,Pune,D0337,Windows 10_Edge_251b1243,Password,10,12,125,1,"HR Portal,CRM"
U0175,user,Marketing,Hyderabad,D0657,macOS Sonoma_Brave_da35ec06,MFA,10,12,111,0,"VPN,GitHub"
U0176,service_account,Sales,Hyderabad,D0164,Ubuntu 22.04_Brave_2cccacb9,Password,9,11,145,0,"HR Portal,Confluence"
U0177,user,Sales,Pune,D0287,Windows 10_Chrome_709d3344,Password,8,10,96,1,"GitHub,Finance DB"
U0178,user,Support,Mumbai,D0614,macOS Sonoma_Edge_88148e6e,Password,8,10,169,0,"VPN,Internal Server,Database"
U0179,service_account,Finance,Chennai,D0519,Windows 10_Chrome_414fc6d7,Biometric,10,12,154,1,"Database,HR Portal"
U0180,user,Finance,Pune,D0465,Windows 10_Chrome_6a9d2aeb,Biometric,10,12,88,0,"HR Portal,Jira,Finance DB"
U0181,service_account,Marketing,Pune,D0278,Windows 10_Edge_f7d47f2b,Biometric,10,12,75,0,"HR Portal,Finance DB"
U0182,user,Engineering,Pune,D0409,Windows 10_Edge_ae9ea825,Biometric,8,10,148,0,"CRM,VPN,GitHub"
U0183,user,Marketing,Hyderabad,D0105,macOS Sonoma_Chrome_3d5c4a5a,Password,9,11,124,0,"VPN,Internal Server"
U0184,user,HR,Bangalore,D0115,Windows 10_Brave_d048af40,Password,8,10,81,1,"HR Portal,CRM"
U0185,user,IT,Hyderabad,D0629,macOS Sonoma_Edge_96e24eca,MFA,9,11,131,1,"VPN,Finance DB,HR Portal,Jira"
U0186,user,Engineering,Bangalore,D0587,macOS Sonoma_Chrome_c063b49a,MFA,10,12,112,0,"Jira,Confluence,GitHub,Email"
U0187,user,HR,Mumbai,D0468,macOS Sonoma_Edge_87d27b3f,MFA,10,12,124,0,"CRM,GitHub,HR Portal"
U0188,user,Support,Bangalore,D0093,Ubuntu 22.04_Brave_fcfd3251,Password,9,11,141,1,"HR Portal,CRM,Internal Server,Jira"
U0189,user,Engineering,Chennai,D0008,macOS Sonoma_Firefox_bec91ec4,MFA,9,11,137,0,"Email,Internal Server,Jira,HR Portal"
U0190,user,HR,Pune,D0090,Windows 11_Firefox_5aed8306,Password,9,11,69,1,"CRM,HR Portal,Internal Server"
U0191,user,Sales,Chennai,D0530,macOS Sonoma_Edge_f9abd4aa,Biometric,9,11,70,1,"CRM,HR Portal,Internal Server"
U0192,user,Finance,Mumbai,D0381,Windows 10_Chrome_ec5fcfbb,MFA,9,11,112,0,"VPN,Finance DB,Email,Internal Server"
U0193,user,Marketing,Pune,D0523,Ubuntu 22.04_Chrome_33175c05,MFA,10,12,171,0,"VPN,GitHub,Jira"
U0194,user,HR,Bangalore,D0568,macOS Sonoma_Firefox_7d7c98e3,Biometric,9,11,85,0,"Jira,VPN"
U0195,user,HR,Pune,D0364,Windows 11_Brave_544631e4,MFA,9,11,90,0,"Jira,Confluence,GitHub"
U0196,user,IT,Mumbai,D0640,Ubuntu 22.04_Edge_8179af76,Biometric,8,10,154,0,"GitHub,Email"
U0197,user,IT,Mumbai,D0141,Ubuntu 22.04_Brave_c05b39b0,MFA,8,10,64,0,"Email,VPN,Finance DB,Internal Server"
U0198,user,Finance,Hyderabad,D0029,Windows 10_Edge_fcba1272,Biometric,8,10,156,1,"Jira,CRM,Database"
U0199,user,Engineering,Pune,D0044,Windows 10_Brave_e3eea0df,MFA,9,11,173,0,"Database,Confluence,GitHub,CRM"
U0200,user,Marketing,Hyderabad,D0043,Windows 11_Edge_1af2cb72,Biometric,8,10,145,0,"Finance DB,Internal Server,VPN"
U0201,user,Sales,Mumbai,D0074,Windows 10_Firefox_710310c5,Biometric,9,11,139,1,"Internal Server,GitHub,Email,Finance DB"
U0202,user,Engineering,Chennai,D0168,macOS Sonoma_Edge_0f6357a1,MFA,9,11,133,0,"CRM,GitHub,Internal Server"
U0203,user,Sales,Bangalore,D0211,Windows 11_Firefox_0506c2cc,MFA,8,10,82,0,"CRM,GitHub,Email,Confluence"
U0204,user,Sales,Chennai,D0612,Windows 11_Chrome_325779b8,Password,10,12,108,0,"Internal Server,CRM"
U0205,user,Sales,Pune,D0067,macOS Sonoma_Edge_ecb53edd,Biometric,9,11,134,0,"HR Portal,CRM,VPN"
U0206,user,Sales,Chennai,D0012,macOS Sonoma_Brave_e19a4bad,MFA,9,11,142,1,"CRM,GitHub,Internal Server"
U0207,edge_device,IT,Mumbai,D0638,Ubuntu 22.04_Chrome_e48feb5a,Password,9,11,77,0,"Jira,CRM"
U0208,user,Finance,Hyderabad,D0569,Ubuntu 22.04_Edge_f0fc0d19,Biometric,10,12,128,0,"GitHub,CRM,HR Portal"
